aspect,listing_id,score,text
位置交通,37582997,-3.0,地理位置優越，十分方便購買手信，亦方便行動不便的老人及體貼幫忙解決行李安置問題，方便最後一日也能安心安排行程。
位置交通,39758627,-3.0,"I was truly amazed by how well Cheri manages this facility. I fell in love with my room the moment I entered. It was well lit, sparkling clean, and has a stylis"
位置交通,46701867,-3.0,"The flat is a nice layout for guests, the bedrooms are a good size, and it has the basic amenities. Most of the apartment is new and updated but there is notice"
位置交通,47571880,-3.0,"Since May 2025, for health reasons, I've been going to Taipei every month and spending a week or two in the city.<br/>This apartment has been my worst experienc"
位置交通,688736936440590337,-3.0,"雖然是老房子，但是內裏全新裝修，地方非常清潔，設備也齊全，房間也很大，但注意此房源是舊式唐樓沒有電梯，需要步行樓梯上2樓, 但難道不高. 房源位置非常接近臨江街夜市，吃喝完全沒有問題, 但位置在小學旁邊, 早上可能會有點吵. 但能夠中午12點才退房，真的很不錯。"
位置交通,903639277064394882,-3.0,位置很方便，有電梯，街區稍稍有一點吵，晚上有車的聲音但是問題不大。在周邊旅行很方便
位置交通,949726301056818041,-3.0,旺中帶靜是很貼合這房子的形容詞<br/>走兩步就到鬧市但又很安靜<br/>飲食方面<br/>早上到樓下就有不少早餐店可以選擇<br/>附近也有個街口有很多牛肉麵店<br/>有些還是24小時營業<br/>交通方面<br/>兩老走路很慢，不過也在15分內到達捷運站<br/>這區差不多在台北捷運網的中心<br/>轉什麼線都很
位置交通,972095119370840179,-3.0,"Emile is really nice host.<br/>She welcomed us so nicely when we were going to check-in, and explaned about the house in detail.<br/>The airbnb was really close"
位置交通,1015841238556042519,-3.0,"Hard to beat the location. Literally one minute walk to the MRT, next to a lot of stores and shopping location. Downside is it can get noisy at night like most "
位置交通,1051272692636723348,-3.0,This place is amazing! Amazing host amazing house. It is in the middle of ximending where food would not be a problem here. A few walks to the mrt ximen station
隔音噪音,39638768,-14.0,我是在网上找到的房源，看到之前住户的評价都説他家交通便利，房间整潔乾淨，空间也合适，房東亲切回复快速，于是就预定长达1个多月（6/6-7/11）房间，以上皆屬实， 但確万万沒想到我入住的第一晩就被冷氣室外机噪音吵到無法入睡，立卽和房東反應，她讓我把冷氣調至低檔風速試試，我調过，但噪音聲依舊很大聲，我甚至关掉了冷氣也無法
隔音噪音,938072647698899854,-10.0,整體住宿體驗真的很棒！Natashia 好漂亮也很親切，Momo 是只漂亮愛貼貼的貓咪，還有外國室友很友善☺️<br/>首先，交通的方便性真的滿分，非常非常靠近捷運站。而且走出門不用1分鐘就有好幾間便利商店和藥局。住宿附近也有不少餐廳，彩妝店還有家樂福😆<br/>乾淨程度真的不用擔心，廁所是共用的但是很乾淨沒有異味，房
隔音噪音,21068935,-9.0,希望要訂這間房間的人都可以看看我的評論<br/>我不是奧客 <br/>也知道住airbnb本來就不能跟飯店比<br/>但這次的住宿體驗真的是我使用airbnb以來 <br/>住過最最最最差的房間<br/>優點1<br/>地點是真的很方便<br/>樓下就有便利商店 步行幾分鐘抵達西門町<br/>缺點1<br/>因為房間是
隔音噪音,11977286,-8.0,优点：位置真的很好，闹中取静，旁边就是忠孝复兴捷运站和远东sogo，楼下周边吃饭逛街外出都很方便。<br/>缺点：空调问题。1.空调真的很吵，特别是客厅的空调制冷开始的时候主机（应该是装在主人房大房外面）轰隆隆，主人房里面无法睡觉，后来跟房东反馈了，房东过来看过也没办法解决，就让我们放弃使用客厅空调，而且并没有感觉对方
隔音噪音,1016539142755808205,-8.0,地點很好 對面就是寧夏夜市<br/>外觀雖然很明顯是舊房子改建的<br/>走廊有一個舊舊的味道 但房間內舒適乾淨明亮 看得出來屋主用心整理過<br/>客廳跟房間內各有一台冷氣 通常只會有一台 這樣冬天客廳及房間就都能開暖氣 覺得很貼心！<br/>覺得肉眼看到的房源狀況比圖片漂亮很多 白白淨淨的讓人住起來心情很好<br/
隔音噪音,44201965,-7.0,房源大致與描述相同，但隔音非常差，半夜兩點有其他住戶在樓梯間喝醉吵鬧大聲呼喊，非常吵，有告知房東此狀況但被無視並無收到任何回覆<br/>雖然房間不錯但噪音問題造成睡眠品質極差的情形，若有重視隔音者不推薦此房源<br/>優點是有兩套衛浴使用上非常方便
隔音噪音,1217627800601236969,-7.0,以這價位，對比環境跟房況我覺得是剛好，但最大的缺點就是因面臨大馬路及高架捷運旁，又落地窗不是氣密隔音窗，外面的吵雜聲很明顯，第一晚我幾乎無法入睡，直到自行購買耳塞才減緩雜音的問題，如果你是重視安靜睡眠質量的旅人，選則這邊，建議一定要有耳塞。
隔音噪音,1701140,-6.0,枕頭和床單上有頭髮，角落處有滿多灰塵，隔音很差，隔壁房客在吵架，半夜被吵醒兩三次...唯一的優點是地點很方便，價錢不貴，如果只是想找個地方睡一晚，還可以接受
隔音噪音,3953759,-6.0,说句良心话：不要住这里。因为临街特别吵，窗户那边的底板只是一层纸盒，台北机车巨多，噪音巨大，整晚无法入睡。老板是很客气，给我们准备了耳塞，没用谢谢。所以这个评论不针对老板，全凭良心说话。住了一晚简直精神崩溃，之前不明真相定了三晚，第二晚是七天之后回台北，于是提前一礼拜说想退房，老板说扣50%房费，两晚的50%五百多，太
隔音噪音,11140660,-6.0,本次我们一家三口住了三晚四天，以下是个人体验。这间民宿的位置离台北车站捷运站步行十分钟，到西门汀繁华地段差不多也是十分钟，房间内没有发现蚊虫，有洗衣机这点很方便，下楼步行五分钟有超市，小吃摊，水果店等。我把这间民宿的不足总结三点：第一，卫生太差。我用洗衣机洗了一次衣服，洗完都是毛，后来我清洁了洗衣机的过滤器，过滤器里全
隔音噪音,20989755,-6.0,1.房間內部擺設如照片<br/>2.陽台照片沒拍到的地方有些雜物，陽台空間非常非常狹小，不如不要擺桌子<br/>3.照片都是白天拍的還有調過亮度，走廊完全不一樣，是不同的地方，實際的走廊即使是白天仍非常陰暗，天黑之後更是暗得深不見底<br/>4.從一樓開始到房間裡的廁所，所有經過的門都非常老舊，難關難開難鎖<br/>5
隔音噪音,22156573,-6.0,位置很好但房間稍小了一點，一個人住沒有問題。 可改善周圍噪音及吵雜聲音便更好了。
隔音噪音,28142373,-6.0,位置很好但房間稍小了一點，一個人住沒有問題。 可改善周圍噪音及吵雜聲音便更好了。
隔音噪音,30386138,-6.0,"Except those noisy water pipe noise , bad soundproof , hard to adjust hot water, everything’s great. Easy to access Ximending and convenience stores."
隔音噪音,35435235,-6.0,整體來説，房間整潔度未如理想，大門有很多蟑螂死屍和十分骯髒，現實中房間比圖片更小，隔音極差，包括樓下噪音和隔壁電視聲音都聽到，但勝在地理位置十分鄰近西門町，但始終性價比偏低，不推薦，有待改善
隔音噪音,36834831,-6.0,"*Very* small room. No desk. Hear everything from next room (v noisy all night). Window opens to smelly noisy dark ally, so cannot keep open. Way too small/no pl"
隔音噪音,679334111960102780,-6.0,是一個很特別的房子<br/>但怕吵或者灰塵的人不建議<br/>旁邊的教會？吵整天吵到早上都無法睡
隔音噪音,886953475433750828,-6.0,房間與照片相符。窗戶對着大馬路，比較嘈吵，建議可以加裝隔音窗簾。入住期間冷氣機有滴水問題，墊著毛巾，並沒有太大影響。洗手間有小飛蟲，建議多滅蟲。整體居住尚可。
隔音噪音,991709061630546347,-6.0,半夜三點，其它房客說話大聲被吵醒，外面車子噪音也超級大，冰箱聲音間隔一段時間會提高噪音，乾淨度要再加強，廁所味道有種悶臭味
隔音噪音,1023767256955799657,-6.0,還可以，但隔音差了一些。碰巧樓上鄰居連續幾晚吵架，吵架內容都聽得清清楚楚。
隔音噪音,1086836240625212432,-6.0,～住宿位置就在西門町非常方便<br/>～附有洗衣機<br/>～睡得很好<br/>～房東有禮貌且親切，回覆也很快<br/>注意<br/>～停車場非常舊也很髒<br/>～洗澡水力有點不足<br/>～冷氣機有點吵<br/>～旁邊街道會有表演，有點吵<br/>～有上下層樓梯，對長者較為不便<br/>整體來說是可以的，也非常感謝
隔音噪音,1150314359704864588,-6.0,優點是空間很大，可以容納10人，餐桌也很大；房東很貼心也很迅速回覆。<br/>但是大樓本身很老舊，房源在六樓但是電梯不知道為什麼到四樓突然開門就不關了，感到毛骨悚然。<br/>客廳空間很小，茶几搖搖晃晃隨時會解體。<br/>兩間浴室都超級小，大概是游泳池的淋浴間一半，牆面磚塊殘破不堪，洗澡跟上廁所都很不舒服。<br/>
隔音噪音,1428361943619188406,-6.0,這次的住宿體驗非常棒！房間乾淨整潔，與照片描述完全相符。房東回覆訊息的速度很快，溝通起來非常順暢，提早到達也可讓我們先寄存行李。另外，地點不錯，去不同地方都方便，走路可到達台北車站，樓下附近有早餐點，便利商店也在不遠處。美中不足是隔音有點差，兩天都被隔壁小孩早上吵鬧聲吵醒，另外一間房會聽到車聲。下次有機會還是會再入住。
隔音噪音,7370637,-5.0,第一個就是剛好我朋友也住這邊，但是同樣的價格他們是雙人房我的是單人房，那正常人也會想要睡雙人房那我覺得好沒關係可能是我沒有找到再來就是一到房間的時候有一個除濕器他裡面是滿水我想說好沒關係我把它倒掉結果我又放進去他這台機器是壞掉的完全沒有辦法做使用，我有跟裡面的人說壞掉了怎麼辦因為我很害怕潮濕他們就說只能夠隔一天處理完全
網路WiFi,839732520562468136,-8.0,位置非常方便，位於西門町中心地帶。公寓附近周圍都是餐廳和便利商店，附近還有誠品、康是美和寶雅等，方便購物。唯一不太好是，原來大廈晚上十時後，會下閘關閉各出入口，只淨餘一個出口進出，要點時間找入口。另外，令人失望的是，WiFi極度差，入住第三晚已經不能夠使用WiFi；屋主提供的方法不能解決WiFi問題，直到退房也不能夠使
網路WiFi,31548380,-4.0,"Excellent location. The host is very nice and thoughtful. Sai has prepared great trip tips and restaurant suggestions around the place.  In addition, we had sma"
網路WiFi,52782806,-4.0,WiFi ￼很差，完全收不到訊號￼，￼位置￼多噪音￼
網路WiFi,970564271109436452,-4.0,"房東太煩了. (1) 房東的第一則訊息不友好 (不友善), 問我是否已經閱讀了所有說明. 其他房東都沒有這樣問過我. (2) 有一次, 有人敲門, 房東居然問: “他們問了你什麼 ? 有人進房間了嗎 ?” !!!! (3) 他一直堅持要開除濕機 ! 我在台灣住過很多地方, 除了這個房東, 其他人也不在乎濕度. (4) "
網路WiFi,38737126,-3.0,Kai Yu was responsive with all the queries. also offered to help book airport transfers at reasonable prices.  Especially good if you are flying at dawn when th
網路WiFi,888848360089187632,-3.0,really enjoyed staying at Grace’s place. the location is excellent and the place is spacious and clean. Grace’s team was extremely helpful in booking airport tr
網路WiFi,1353412203445630231,-3.0,The location and the room itself are perfect. It is all very nice and in the perfect area. The only major problem was the internet. I was consistently at 5mbps 
網路WiFi,1838528,-2.0,"Simon is a kind man. If you have any question about the room,you can call him he will answer you as soon as possible.The room is clean and has enough space.This"
網路WiFi,4014018,-2.0,好得地方：<br/>1，位置好，周边配套和知名店铺丰富；<br/>2，价格便宜，出行便宜和方便；<br/>3，房东Mike非常客气友善，并对台湾十分了解推荐的地方都很地道，很赞；<br/>提示：<br/>1，房屋的排风和空气流通稍差；<br/>2，晚上的Wifi速度很慢；<br/>3，软床，对睡眠敏感的人需要注意；<b
網路WiFi,4054999,-2.0,"Staying with Mike was great. Everything was easy, in fact he even organized a driver to pick us up from the airport, which is nice because we didn't have data o"
網路WiFi,11693088,-2.0,オーナーのYumiさんは日本人の血を引いておられる（ただし、日本語は話されません）とのことで、とても親切にしていただきました。<br/>部屋は一般住居の一室で、台北MRT（地下鉄）の古亭駅から徒歩10分ほどの距離であることと、厦門街のオフィス家具街の中で狭い階段を3階まで歩いて上がること、また築年数がかなり経っているこ
網路WiFi,11977286,-2.0,房東很友善，會盡量為你在台灣遇到的問題提供協助，房子整潔，基本所需一應俱全，電子門鎖，不怕忘記帶鑰匙，交通方便，位置一流，要找吃的都完全沒有問題。但要，晚上十點後要把音量收細，喜歡熱鬧和開派對的人要注意，另外室內和陽台均不能抽煙。可能我個人比較性急，感覺WIFI速度比較慢，想用流動數據接收又很差。。。大廈和附近環境比較
網路WiFi,14241304,-2.0,"Lovely place to stay while we were traveling in Taiwan! This place is clean, simple and bright! The only two downsides are bad wifi(can't get connection in the "
網路WiFi,15769542,-2.0,We love the location of this Airbnb. It’s just by Taipei main station so many connecting options. Taipei bus station near too. <br/>It also connects to the many
網路WiFi,15954301,-2.0,The room had everything we needed for our 2 week stay and is a great space for 2 adults; we had 2 large and 2 cabin size luggages which fit comfortably. The siz
網路WiFi,16469777,-2.0,房間該配備大都齊全 樓上房間的地板不隔音 小步行樓下房間也會聽到 隔音比較差 外頭能聽到房間裏的聲音 wifi有點慢 三房一廳其中一間是在大門外並不連接 有點奇怪 熱水爐在晚上有時候會忽冷忽熱 其他都不錯 近巿區 坐捷運 買手信 餐廳 商店街都在附近 跟台北車站也只差一個站 轉乘十分方便 服務態度很好 第一天找不到地址
網路WiFi,17287805,-2.0,Everything is good at Jej's place. It was quite nice to stay there for 2 weeks. I had no issue at all with the place except one. The wifi speed was quite slow a
網路WiFi,21854628,-2.0,"Host didnt turn up during check in. Toilet bowl has flushing issues. Bedroom 2's bed was so hard, I don't think it's a proper mattress. Blanket has stain inside"
網路WiFi,21993579,-2.0,"Great stay, very helpful host and even cleaned halfway through our stay! Very private self contained unit close to transport to the city and the mountains. very"
網路WiFi,22172055,-2.0,地點超方便，下樓應有盡有⋯雖然在鬧區，但是晚上休息一點都不吵⋯很棒、入住的時候Wi-Fi壞了、但是對我沒影響，可憐了我的先生要蹭公共Wi-Fi⋯哈哈哈
網路WiFi,23228459,-2.0,"抵達台灣時因班機嚴重延誤,導致延遲入住,加上網路問題無法即時回應airbnb留言,<br/>使我超級擔心又慌張!!還好林sir很貼心一直在民宿等待我們入住,真的很感謝!!<br/>最後還提供貼心的機場送機服務~大大加分GOOD!!<br/>停留天數較長的旅客,有洗衣機真是超方便,可減少很多行李,<br/>提供洗衣粉和很"
網路WiFi,24534421,-2.0,"入住時有小插曲， 房東快速回頭處理。 <br/>地點方便， 近北門站 同機場捷運，個人比較怕台北車站太大， 所以近北門站非常好， 走路去西門町只需15分鐘， 附近有好吃的早餐店 , 日本餐廳， 7-11, 銀行<br/>樓下1到5樓是自助商旅， 所以大堂非常好， 有保安， 服務員， 感覺很安全安心， 感覺比一般台灣民宿"
網路WiFi,24943872,-2.0,實際狀況跟照片差很多，走道昏暗，房間也昏暗，一進房在電視牆前面的地板上還有莫名一攤水，房間潮濕充斥著濃濃的芳香劑味，小小一個房間竟然放了三包芳香劑，感覺是刻意要壓過廁所飄出來的臭味，電視也不能看，網路超慢到根本幾乎連不上，最可怕的是被子上還有血漬髒污，還好很晚才來過夜，實在太可怕了
網路WiFi,25295259,-2.0,The good:<br/>This location is great for business and adult travelers that likes a bit of night life. There is always food and activities open late night in the
空調冷氣,39638768,-12.0,我是在网上找到的房源，看到之前住户的評价都説他家交通便利，房间整潔乾淨，空间也合适，房東亲切回复快速，于是就预定长达1个多月（6/6-7/11）房间，以上皆屬实， 但確万万沒想到我入住的第一晩就被冷氣室外机噪音吵到無法入睡，立卽和房東反應，她讓我把冷氣調至低檔風速試試，我調过，但噪音聲依舊很大聲，我甚至关掉了冷氣也無法
空調冷氣,21083767,-10.0,房東人很好，原本說好是由我去領取鑰匙，但臨時有事，由他人代替，也順利完成聯絡。<br/>房間空間小、狹長而窄，冷氣直吹床頭，若是倒睡，則十分的悶，整個房間很悶，對於夏季入住的房客，是個問題。房間只有一個小窗戶，冷氣似乎偏舊，並不通風。有提供電風扇，但電風扇運轉時會發出聲音，有點吵。<br/>浴室沒有乾濕分離，如果沖澡動
空調冷氣,996140822575146404,-9.0,租了三天兩夜for工作出差。<br/>整體唯一感激的，這三天台灣都暴雨，臨走一天問房東可否遲20分鐘checkout ，房東他答應。這點我們是很感激的。<br/>除此之外，所有東西整體體驗都很差。這是我第二次使用Airbnb，首先我們飛機延遲到達民宿已經晚上11點多，很黑沒有燈，而且民宿是使用電子鎖。電子鎖感應很差，我
空調冷氣,1083322502572760272,-9.0,第一次遇到冷氣室外機是兩房共用一台 隔壁開暖氣我們就只能開暖氣 開冷氣會自動關掉 房間超級潮濕空氣極差 甚至內側窗框都是積水 榻榻米跟床鋪都是濕氣 還不能開除濕 冷氣 而且經過溝通房東不肯跟隔壁房溝通 只要求我們配合隔壁開暖氣 因為隔壁是長住客 甚至說我們想開冷氣不正常  我們都是付錢如果住卻得不到公平的待遇
空調冷氣,1384216088732285300,-9.0,這間房子整體相當老舊，牆面甚至還有油漆剝落的情況。樓上的燈非常難啟動，需要反覆嘗試才會亮，而且開一段時間後燈座會變得很熱，讓人感到有些不安。<br/>閣樓的窗簾有兩層且完全不透光，導致整個閣樓非常昏暗。當我們把窗簾拉開，想讓陽光照進來時，卻發現客廳天花板夾層裡堆積了大量灰塵，感覺長時間沒有清理。<br/>樓下只有一台非
空調冷氣,4372441,-8.0,房子-<br/>房間如照片上顯示的一模一樣﹐是一間促新且乾淨舒適的小豪宅，有酒店質素。房東亦貼心準備了水果和飲料給我們享用，其他小節如充電轉換挿頭都齊備。不過留意這是airnbnb，不是酒店，房客需要自行洗杯和清洗盤子的，需注意。而且房子是民居住宅，不是酒店，對陌生人的聲音都很敏感，需分批出入，不能大夥同行，注意不能
空調冷氣,862868656072104958,-8.0,Ivory 的民宿給了我家的感覺，設備齊全，燈光通明，佈置舒適簡潔，讓我在台北渡過愉快的假日。<br/>Ivory 並為我們迅速解決問題。當感到冷氣機不太冷，她迅速聯絡冷氣機師傅，2天後便將冷氣機清洗，房間也倍感凉快。<br/>房間只有個小問題，洗手間略有些微異味，需長時間開著抽氣扇，不知是否與大廈厠所渠問題有關。<b
空調冷氣,974953211216896407,-7.0,Rex 回覆我所有問題都很快，第一天發現冷氣機有點吵。向他回應後，他提議幫我先安裝風扇及建議我如何改善。及後在最後一晚回到旅居發現冷氣壞了，他們立即過來解決。最終都能令冷氣回覆正常，而且他們主動讓我延遲退房及提出退款給我作賠償。他是個負責任的旅居主人，以後有機會一定再住進他的旅店。<br/>p.s. 我們沒有要他們退款
空調冷氣,18800405,-6.0,入住3日2夜，地點好，樓下有餐廳，商店，後街有7-11！<br/>入住前已同房東溝通所需用品，房東很好也幫忙安排嬰兒用品：遊戲床好新，也有沖涼液 嬰兒浴盤使用！風筒夠力，只是比小左張棉被～<br/>不過都唔緊要，實在用唔著<br/>原因係冷氣壞左！入住當晚冷氣已經調教到最低溫度（17度）&強風（swing都係壞），直立
空調冷氣,898877506085938037,-6.0,由捷運站步行到民宿大概10-15分鐘，預約uber可在門口上車，地點甚佳。<br/>民宿內部空間頗大，但窗外是帳篷，下大雨時滴到篷上有點嘈吵，於是唯有關窗開空調，但空調的風量不能控制，晚上很冷。廁所有點臭味，水壓也不太足夠，水溫時冷時熱，不過考慮到地點、價錢、空間，整體而言是不錯的。
